Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5% On Purchase,Cost Of Goods,Total Cost,Date Of Purchase,Time Of Purchase,Payment,Gross Margin %,Gross Income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,522.83,548.9715,1/5/2019,13:08:00,Ewallet,4.761904762,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,76.4,80.22,3/8/2019,10:29:00,Cash,4.761904762,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,324.31,340.5255,3/3/2019,13:23:00,Credit card,4.761904762,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,465.76,489.048,1/27/2019,20:33:00,Ewallet,4.761904762,23.288,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,604.17,634.3785,2/8/2019,10:37:00,Ewallet,4.761904762,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,597.73,627.6165,3/25/2019,18:30:00,Ewallet,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,413.04,433.692,2/25/2019,14:36:00,Ewallet,4.761904762,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,735.6,772.38,2/24/2019,11:38:00,Ewallet,4.761904762,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,72.52,76.146,1/10/2019,17:15:00,Credit card,4.761904762,3.626,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,164.52,172.746,2/20/2019,13:27:00,Credit card,4.761904762,8.226,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,57.92,60.816,2/6/2019,18:07:00,Ewallet,4.761904762,2.896,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,102.04,107.142,3/9/2019,17:03:00,Cash,4.761904762,5.102,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,234.75,246.4875,2/12/2019,10:25:00,Ewallet,4.761904762,11.7375,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,431.9,453.495,2/7/2019,16:48:00,Ewallet,4.761904762,21.595,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,713.8,749.49,3/29/2019,19:21:00,Cash,4.761904762,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,562.32,590.436,1/15/2019,16:19:00,Cash,4.761904762,28.116,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,482.51,506.6355,3/11/2019,11:03:00,Credit card,4.761904762,24.1255,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,435.66,457.443,1/1/2019,10:39:00,Credit card,4.761904762,21.783,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,164.01,172.2105,1/21/2019,18:00:00,Credit card,4.761904762,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,80.6,84.63,3/11/2019,15:30:00,Ewallet,4.761904762,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,430.2,451.71,2/25/2019,11:24:00,Ewallet,4.761904762,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,263.94,277.137,3/5/2019,10:40:00,Ewallet,4.761904762,13.197,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,66.4,69.72,3/15/2019,12:20:00,Credit card,4.761904762,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,172.8,181.44,2/17/2019,11:15:00,Ewallet,4.761904762,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,265.89,279.1845,3/2/2019,17:36:00,Ewallet,4.761904762,13.2945,6
